Headline,Sentiment
JPMorgan reports record quarterly profits,1
Federal Reserve signals pause in rate hikes,1
Bank of America beats earnings expectations,1
Strong jobs report boosts market confidence,1
Goldman Sachs raises dividend by 25 percent,1
Wells Fargo announces major stock buyback program,1
Consumer spending rises to highest level in years,1
Morgan Stanley upgrades banking sector to buy,1
Inflation falls below Federal Reserve target,1
Credit card delinquencies drop to historic lows,1
OneMain Financial reports strong loan growth,1
Consumer confidence index reaches five year high,1
Banks post strongest quarterly results since 2019,1
Federal Reserve holds rates steady boosting stocks,1
Loan demand surges as economy strengthens,1
JPMorgan expands lending to underserved communities,1
Strong retail sales data lifts financial stocks,1
Bank stocks rally on positive stress test results,1
Goldman Sachs beats revenue estimates by wide margin,1
Rising employment drives consumer loan demand higher,1
Wells Fargo increases quarterly dividend payment,1
Financial sector leads market rally higher,1
Consumer debt levels remain manageable analysts say,1
Banks report lowest default rates in decade,1
Federal Reserve chair signals accommodative policy,1
Credit scores improving across all income levels,1
Morgan Stanley reports surge in wealth management,1
Bank earnings season off to strong start,1
Positive economic data drives financial stocks up,1
JPMorgan raises full year earnings guidance,1
Consumer loans grow at fastest pace in years,1
Banks benefit from steepening yield curve,1
Strong housing market boosts mortgage lending,1
Financial stocks hit new 52 week highs,1
Bank of America reports improved asset quality,1
Economy adds more jobs than expected in report,1
Lower charge offs boost bank profitability,1
Goldman Sachs investment banking revenue surges,1
Federal Reserve balance sheet reduction slows,1
Consumer borrowing rises on strong confidence,1
Wells Fargo loan portfolio shows improvement,1
Banks pass annual stress tests with flying colors,1
Rising wages support consumer loan repayment,1
JPMorgan net interest margin expands sharply,1
Positive jobs data reduces recession concerns,1
Bank stocks outperform broader market this quarter,1
Morgan Stanley wealth management assets hit record,1
Consumer credit quality remains strong analysts note,1
Federal Reserve minutes signal no rate cuts soon,1
OneMain Financial lowers cost of funds significantly,1
JPMorgan warns of rising loan losses ahead,0
Federal Reserve raises rates higher than expected,0
Bank of America misses earnings by wide margin,0
Recession fears grow as consumer spending slows,0
Goldman Sachs cuts dividend amid profit decline,0
Wells Fargo faces new regulatory investigation,0
Consumer spending falls sharply in latest report,0
Morgan Stanley downgrades banking sector to sell,0
Inflation surges above Federal Reserve target,0
Credit card delinquencies rise to highest since 2008,0
OneMain Financial reports surge in loan defaults,0
Consumer confidence drops to lowest level in years,0
Banks face worst quarterly results since financial crisis,0
Federal Reserve signals aggressive rate hikes ahead,0
Loan demand collapses as economy weakens sharply,0
JPMorgan sets aside billions for expected loan losses,0
Weak retail sales data hammers financial stocks,0
Bank stocks fall on poor stress test results,0
Goldman Sachs misses revenue estimates badly,0
Rising unemployment drives consumer loan defaults,0
Wells Fargo cuts dividend amid rising losses,0
Financial sector leads market selloff lower,0
Consumer debt reaches dangerous levels economists warn,0
Banks report highest default rates since recession,0
Federal Reserve chair signals tighter policy ahead,0
Credit scores deteriorating across lower income borrowers,0
Morgan Stanley reports sharp drop in wealth management,0
Bank earnings season off to terrible start,0
Negative economic data drives financial stocks down,0
JPMorgan cuts full year earnings guidance sharply,0
Consumer loans contract at fastest pace in years,0
Banks hurt by flattening yield curve analysts say,0
Weak housing market hurts mortgage lending business,0
Financial stocks hit new 52 week lows,0
Bank of America reports deteriorating asset quality,0
Economy loses more jobs than expected in report,0
Higher charge offs hurt bank profitability sharply,0
Goldman Sachs investment banking revenue collapses,0
Federal Reserve balance sheet reduction accelerates,0
Consumer borrowing falls on weakening confidence,0
Wells Fargo loan portfolio shows serious deterioration,0
Banks fail annual stress tests raising concerns,0
Falling wages hurt consumer loan repayment ability,0
JPMorgan net interest margin compresses sharply,0
Negative jobs data increases recession probability,0
Bank stocks underperform broader market this quarter,0
Morgan Stanley wealth management assets drop sharply,0
Consumer credit quality deteriorating analysts warn,0
Federal Reserve minutes signal aggressive rate hikes,0
OneMain Financial sees rising cost of funds,0
